blocksize,elapsed_time
87,2.2482e-05
88,2.3865e-05
89,2.2292e-05
90,2.1971e-05
91,2.103e-05
92,2.088e-05
93,2.1159e-05
94,2.113e-05
95,2.118e-05
96,2.096e-05
97,2.112e-05
98,2.116e-05
99,2.094e-05
blocksize,elapsed_time
0,2.2292e-05
1,2.2191e-05
2,2.2042e-05
3,2.3525e-05
4,2.0358e-05
5,2.0448e-05
6,2.0429e-05
7,2.2593e-05
8,2.2091e-05
9,2.2192e-05
10,2.2192e-05
11,2.2282e-05
12,2.2232e-05
13,2.2142e-05
14,2.3865e-05
15,2.3685e-05
16,3.8372e-05
17,3.8592e-05
18,2.5288e-05
19,2.4736e-05
20,2.5217e-05
21,2.5017e-05
22,2.5388e-05
23,2.4656e-05
24,2.6059e-05
25,2.639e-05
26,2.5227e-05
27,2.0538e-05
28,2.2222e-05
29,2.2733e-05
30,2.2222e-05
31,2.2312e-05
32,2.2192e-05
33,2.2332e-05
34,2.2392e-05
35,2.3565e-05
36,2.0408e-05
37,2.0338e-05
38,2.0348e-05
39,2.2532e-05
40,2.2342e-05
41,2.2382e-05
42,2.2352e-05
43,2.2543e-05
44,2.2382e-05
45,2.2362e-05
46,2.3364e-05
47,2.0308e-05
48,2.0329e-05
49,2.4537e-05
50,2.7211e-05
51,3.4104e-05
52,2.5238e-05
53,3.4805e-05
54,2.2743e-05
55,2.2102e-05
56,2.3635e-05
57,2.3875e-05
58,2.0157e-05
59,2.0047e-05
60,2.2642e-05
61,2.1991e-05
62,2.2452e-05
63,2.2192e-05
64,2.2342e-05
65,2.2442e-05
66,2.2532e-05
67,2.3414e-05
68,2.0358e-05
69,1.9958e-05
70,2.0328e-05
71,2.2592e-05
72,2.2853e-05
73,2.2542e-05
74,2.2703e-05
75,2.2362e-05
76,2.2282e-05
77,2.2162e-05
78,2.3634e-05
79,2.0108e-05
80,2.0058e-05
81,2.2643e-05
82,2.2702e-05
83,2.2382e-05
84,2.2262e-05
85,2.2142e-05
